"title","name","role"
"The Most Dangerous Game(1932)","Henry W. Gerrard(4706)","cinematographer"
"The Most Dangerous Game(1932)","Joel McCrea(6948)","actor"
"The Most Dangerous Game(1932)","Fay Wray(2039)","actress"
"The Most Dangerous Game(1932)","Leslie Banks(2203)","actor"
"The Most Dangerous Game(1932)","Robert Armstrong(5877)","actor"
"The Most Dangerous Game(1932)","Irving Pichel(1635)","director"
"The Most Dangerous Game(1932)","Ernest B. Schoedsack(4325)","director"
"The Most Dangerous Game(1932)","James Ashmore Creelman(7256)","writer"
"The Most Dangerous Game(1932)","Richard Connell(5028)","writer"
"The Most Dangerous Game(1932)","Max Steiner(0070)","composer"
"You Only Live Once(1937)","William Gargan(7326)","actor"
"You Only Live Once(1937)","Sylvia Sidney(6662)","actress"
"You Only Live Once(1937)","Henry Fonda(0020)","actor"
"You Only Live Once(1937)","Barton MacLane(3692)","actor"
"You Only Live Once(1937)","Jean Dixon(8863)","actress"
"You Only Live Once(1937)","Fritz Lang(0485)","director"
"You Only Live Once(1937)","Gene Towne(9999)","writer"
"You Only Live Once(1937)","C. Graham Baker(8305)","writer"
"You Only Live Once(1937)","Leon Shamroy(5872)","cinematographer"
"You Only Live Once(1937)","Daniel Mandell(1721)","editor"
"Citizen Kane(1941)","Gregg Toland(5904)","cinematographer"
"Citizen Kane(1941)","Orson Welles(0080)","actor"
"Citizen Kane(1941)","Joseph Cotten(1072)","actor"
"Citizen Kane(1941)","Dorothy Comingore(3827)","actress"
"Citizen Kane(1941)","Agnes Moorehead(1547)","actress"
"Citizen Kane(1941)","Herman J. Mankiewicz(2534)","writer"
"Citizen Kane(1941)","John Houseman(2144)","writer"
"Citizen Kane(1941)","Roger Q. Denny(9670)","writer"
"Citizen Kane(1941)","Mollie Kent(8809)","writer"
"Citizen Kane(1941)","Bernard Herrmann(2136)","composer"
"Dumbo(1941)","Ben Sharpsteen(9313)","director"
"Dumbo(1941)","Sterling Holloway(1359)","actor"
"Dumbo(1941)","Edward Brophy(2395)","actor"
"Dumbo(1941)","Herman Bing(2884)","actor"
"Dumbo(1941)","Billy Bletcher(8285)","actor"
"Dumbo(1941)","Samuel Armstrong(5899)","director"
"Dumbo(1941)","Norman Ferguson(2568)","director"
"Dumbo(1941)","Wilfred Jackson(4144)","director"
"Dumbo(1941)","Jack Kinney(5741)","director"
"Dumbo(1941)","Bill Roberts(0860)","director"
"The Maltese Falcon(1941)","Humphrey Bogart(0007)","actor"
"The Maltese Falcon(1941)","Mary Astor(0802)","actress"
"The Maltese Falcon(1941)","Gladys George(3438)","actress"
"The Maltese Falcon(1941)","Peter Lorre(0048)","actor"
"The Maltese Falcon(1941)","John Huston(1379)","director"
"The Maltese Falcon(1941)","Dashiell Hammett(8591)","writer"
"The Maltese Falcon(1941)","Adolph Deutsch(6037)","composer"
"The Maltese Falcon(1941)","Arthur Edeson(9186)","cinematographer"
"The Maltese Falcon(1941)","Thomas Richards(4360)","editor"
"Casablanca(1942)","Joan Alison(9706)","writer"
"Casablanca(1942)","Humphrey Bogart(0007)","actor"
"Casablanca(1942)","Ingrid Bergman(0006)","actress"
"Casablanca(1942)","Paul Henreid(2134)","actor"
"Casablanca(1942)","Claude Rains(1647)","actor"
"Casablanca(1942)","Michael Curtiz(2031)","director"
"Casablanca(1942)","Julius J. Epstein(8493)","writer"
"Casablanca(1942)","Philip G. Epstein(8525)","writer"
"Casablanca(1942)","Howard Koch(2321)","writer"
"Casablanca(1942)","Murray Burnett(2417)","writer"
"Rashomon(1950)","Kazuo Miyagawa(4335)","cinematographer"
"Rashomon(1950)","Toshirô Mifune(1536)","actor"
"Rashomon(1950)","Machiko Kyô(7553)","actress"
"Rashomon(1950)","Masayuki Mori(5270)","actor"
"Rashomon(1950)","Takashi Shimura(3766)","actor"
"Rashomon(1950)","Akira Kurosawa(0041)","director"
"Rashomon(1950)","Ryûnosuke Akutagawa(5611)","writer"
"Rashomon(1950)","Shinobu Hashimoto(8074)","writer"
"Rashomon(1950)","Minoru Jingo(3122)","producer"
"Rashomon(1950)","Fumio Hayasaka(0593)","composer"
"Alice in Wonderland(1951)","Winston Hibler(2548)","writer"
"Alice in Wonderland(1951)","Kathryn Beaumont(4607)","actress"
"Alice in Wonderland(1951)","Ed Wynn(3956)","actor"
"Alice in Wonderland(1951)","Richard Haydn(0821)","actor"
"Alice in Wonderland(1951)","Sterling Holloway(1359)","actor"
"Alice in Wonderland(1951)","Clyde Geronimi(4671)","director"
"Alice in Wonderland(1951)","Wilfred Jackson(4144)","director"
"Alice in Wonderland(1951)","Hamilton Luske(7217)","director"
"Alice in Wonderland(1951)","Jack Kinney(5741)","director"
"Alice in Wonderland(1951)","Lewis Carroll(0902)","writer"
"Pony Express(1953)","Ray Rennahan(5840)","cinematographer"
"Pony Express(1953)","Charlton Heston(0032)","actor"
"Pony Express(1953)","Rhonda Fleming(1766)","actress"
"Pony Express(1953)","Jan Sterling(2443)","actress"
"Pony Express(1953)","Forrest Tucker(5861)","actor"
"Pony Express(1953)","Jerry Hopper(4409)","director"
"Pony Express(1953)","Charles Marquis Warren(2766)","writer"
"Pony Express(1953)","Frank Gruber(4246)","writer"
"Pony Express(1953)","Nat Holt(2489)","producer"
"Pony Express(1953)","Paul Sawtell(6275)","composer"
"The Killing(1956)","Lucien Ballard(5644)","cinematographer"
"The Killing(1956)","Sterling Hayden(1330)","actor"
"The Killing(1956)","Coleen Gray(6531)","actress"
"The Killing(1956)","Vince Edwards(0436)","actor"
"The Killing(1956)","Jay C. Flippen(2435)","actor"
"The Killing(1956)","Stanley Kubrick(0040)","director"
"The Killing(1956)","Jim Thompson(0292)","writer"
"The Killing(1956)","Lionel White(5137)","writer"
"The Killing(1956)","James B. Harris(4805)","producer"
"The Killing(1956)","Gerald Fried(6086)","composer"
"The Blob(1958)","Jack H. Harris(4796)","producer"
"The Blob(1958)","Steve McQueen(0537)","actor"
"The Blob(1958)","Aneta Corsaut(1080)","actress"
"The Blob(1958)","Earl Rowe(6505)","actor"
"The Blob(1958)","Olin Howland(8250)","actor"
"The Blob(1958)","Irvin S. Yeaworth Jr.(7105)","director"
"The Blob(1958)","Russell S. Doughten Jr.(4893)","director"
"The Blob(1958)","Theodore Simonson(0796)","writer"
"The Blob(1958)","Kay Linaker(0989)","writer"
"The Blob(1958)","Irvine H. Millgate(9614)","writer"
"The Hidden Fortress(1958)","Masaru Satô(6496)","composer"
"The Hidden Fortress(1958)","Toshirô Mifune(1536)","actor"
"The Hidden Fortress(1958)","Misa Uehara(9947)","actress"
"The Hidden Fortress(1958)","Minoru Chiaki(6928)","actor"
"The Hidden Fortress(1958)","Kamatari Fujiwara(7869)","actor"
"The Hidden Fortress(1958)","Akira Kurosawa(0041)","director"
"The Hidden Fortress(1958)","Ryûzô Kikushima(2878)","writer"
"The Hidden Fortress(1958)","Hideo Oguni(4823)","writer"
"The Hidden Fortress(1958)","Shinobu Hashimoto(8074)","writer"
"The Hidden Fortress(1958)","Sanezumi Fujimoto(7772)","producer"
"The Hangman(1959)","Harry Sukman(6313)","composer"
"The Hangman(1959)","Robert Taylor(1791)","actor"
"The Hangman(1959)","Tina Louise(1481)","actress"
"The Hangman(1959)","Fess Parker(2240)","actor"
"The Hangman(1959)","Jack Lord(0437)","actor"
"The Hangman(1959)","Michael Curtiz(2031)","director"
"The Hangman(1959)","W.R. Burnett(2446)","writer"
"The Hangman(1959)","Dudley Nichols(9580)","writer"
"The Hangman(1959)","Luke Short(5080)","writer"
"The Hangman(1959)","Frank Freeman Jr.(3273)","producer"
"The 400 Blows(1959)","Jean-Pierre Léaud(9543)","actor"
"The 400 Blows(1959)","Albert Rémy(3716)","actor"
"The 400 Blows(1959)","Claire Maurier(1158)","actress"
"The 400 Blows(1959)","Guy Decomble(3948)","actor"
"The 400 Blows(1959)","François Truffaut(0076)","director"
"The 400 Blows(1959)","Marcel Moussy(0115)","writer"
"The 400 Blows(1959)","Jean Constantin(6036)","composer"
"The 400 Blows(1959)","Henri Decaë(5684)","cinematographer"
"The 400 Blows(1959)","Marie-Josèphe Yoyotte(0391)","editor"
"Shoot the Piano Player(1960)","Raoul Coutard(4170)","cinematographer"
"Shoot the Piano Player(1960)","Charles Aznavour(2198)","actor"
"Shoot the Piano Player(1960)","Marie Dubois(9447)","actress"
"Shoot the Piano Player(1960)","Nicole Berger(4303)","actress"
"Shoot the Piano Player(1960)","Michèle Mercier(0440)","actress"
"Shoot the Piano Player(1960)","François Truffaut(0076)","director"
"Shoot the Piano Player(1960)","David Goodis(8959)","writer"
"Shoot the Piano Player(1960)","Marcel Moussy(0115)","writer"
"Shoot the Piano Player(1960)","Pierre Braunberger(5886)","producer"
"Shoot the Piano Player(1960)","Georges Delerue(0016)","composer"
"Jules and Jim(1962)","Claudine Bouché(9099)","editor"
"Jules and Jim(1962)","Jeanne Moreau(3402)","actress"
"Jules and Jim(1962)","Oskar Werner(1459)","actor"
"Jules and Jim(1962)","Henri Serre(5676)","actor"
"Jules and Jim(1962)","Vanna Urbino(1752)","actress"
"Jules and Jim(1962)","François Truffaut(0076)","director"
"Jules and Jim(1962)","Henri-Pierre Roché(4132)","writer"
"Jules and Jim(1962)","Jean Gruault(4171)","writer"
"Jules and Jim(1962)","Georges Delerue(0016)","composer"
"Jules and Jim(1962)","Raoul Coutard(4170)","cinematographer"
"Cléo from 5 to 7(1962)","Alain Levent(5281)","cinematographer"
"Cléo from 5 to 7(1962)","Corinne Marchand(5378)","actress"
"Cléo from 5 to 7(1962)","Antoine Bourseiller(0171)","actor"
"Cléo from 5 to 7(1962)","Dominique Davray(5815)","actress"
"Cléo from 5 to 7(1962)","Dorothée Blanck(7491)","actress"
"Cléo from 5 to 7(1962)","Agnès Varda(9513)","director"
"Cléo from 5 to 7(1962)","Georges de Beauregard(4676)","producer"
"Cléo from 5 to 7(1962)","Carlo Ponti(0638)","producer"
"Cléo from 5 to 7(1962)","Michel Legrand(6166)","composer"
"Cléo from 5 to 7(1962)","Paul Bonis(4706)","cinematographer"
"Vivre Sa Vie(1962)","Agnès Guillemot(7071)","editor"
"Vivre Sa Vie(1962)","Anna Karina(9344)","actress"
"Vivre Sa Vie(1962)","Sady Rebbot(4236)","actor"
"Vivre Sa Vie(1962)","André S. Labarthe(9351)","actor"
"Vivre Sa Vie(1962)","Guylaine Schlumberger(2480)","actress"
"Vivre Sa Vie(1962)","Jean-Luc Godard(0419)","director"
"Vivre Sa Vie(1962)","Marcel Sacotte(5338)","writer"
"Vivre Sa Vie(1962)","Pierre Braunberger(5886)","producer"
"Vivre Sa Vie(1962)","Michel Legrand(6166)","composer"
"Vivre Sa Vie(1962)","Raoul Coutard(4170)","cinematographer"
"Hud(1963)","James Wong Howe(2146)","cinematographer"
"Hud(1963)","Paul Newman(0056)","actor"
"Hud(1963)","Melvyn Douglas(2048)","actor"
"Hud(1963)","Patricia Neal(3658)","actress"
"Hud(1963)","Brandon De Wilde(1121)","actor"
"Hud(1963)","Martin Ritt(8688)","director"
"Hud(1963)","Irving Ravetch(2419)","writer"
"Hud(1963)","Harriet Frank Jr.(0809)","writer"
"Hud(1963)","Larry McMurtry(3505)","writer"
"Hud(1963)","Elmer Bernstein(0930)","composer"
"It's the Great Pumpkin, Charlie Brown(1966)","Peter Robbins(0435)","actor"
"It's the Great Pumpkin, Charlie Brown(1966)","Christopher Shea(0259)","actor"
"It's the Great Pumpkin, Charlie Brown(1966)","Sally Dryer(8741)","actress"
"It's the Great Pumpkin, Charlie Brown(1966)","Cathy Steinberg(5777)","actress"
"It's the Great Pumpkin, Charlie Brown(1966)","Bill Melendez(6837)","director"
