"official_title","your_title","watch_date","type","year","decade","half_decade","age","runtime","genre1","genre2","genre3","seen","source","rating","imdb_rating","recommender"
"Star Wars: Episode III - Revenge of the Sith(2005)","Star Wars Ep 3","2021-05-04","movie","2005","2000","2005","17","140","Action","Adventure","Fantasy","y","Disney +","10.0","7.6","NA"
"The Grand Budapest Hotel(2014)","Grand Budapest Hotel","2021-01-01","movie","2014","2010","2010","8","99","Adventure","Comedy","Crime","y","Stream","10.0","8.1","NA"
"Hunt for the Wilderpeople(2016)","Hunt for the Wilderpeople","2021-01-02","movie","2016","2010","2015","6","101","Adventure","Comedy","Drama","n","Hulu","10.0","7.8","NA"
"Constantine(2005)","Constantine","2021-01-02","movie","2005","2000","2005","17","121","Action","Fantasy","Horror","n","Hulu","8.0","7.0","NA"
"X-Men: Dark Phoenix(2019)","Dark Phoenix","2021-01-03","movie","2019","2010","2015","3","113","Action","Adventure","Sci-Fi","n","HBO Max","2.0","5.7","NA"
"The Skeleton Twins(2014)","The Skeleton Twins","2021-01-04","movie","2014","2010","2010","8","93","Comedy","Drama","Romance","n","Hulu","5.0","6.8","NA"
"Up the Creek(1984)","Up the Creek","2021-01-07","movie","1984","1980","1980","38","96","Comedy","","","n","Amazon Prime","8.0","5.5","NA"
"Date Night(2010)","Date Night (Extended Version)","2021-01-08","movie","2010","2010","2010","12","88","Comedy","Crime","Romance","n","Hulu","8.0","6.3","NA"
"Breakin'(1984)","Breakin'","2021-01-09","movie","1984","1980","1980","38","87","Comedy","Drama","Music","n","Stream","5.0","5.8","NA"
"Beverly Hills Cop(1984)","Beverly Hills Cop 2","2021-06-28","movie","1984","1980","1980","38","105","Action","Comedy","Crime","n","HBO Max","5.0","7.3","NA"
"Breakin' 2: Electric Boogaloo(1984)","Breakin' 2: Electric Boogaloo","2021-01-10","movie","1984","1980","1980","38","94","Comedy","Drama","Musical","n","Stream","2.0","5.1","NA"
"The Tiger Hunter(2016)","The Tiger Hunter","2021-01-11","movie","2016","2010","2015","6","94","Comedy","","","n","Netflix","8.0","6.0","NA"
"Girlfriend's Day(2017)","Girlfriend's Day","2021-01-13","movie","2017","2010","2015","5","65","Comedy","Drama","","n","Netflix","5.0","5.2","NA"
"Jumper(2008)","Jumper","2021-01-16","movie","2008","2000","2005","14","88","Action","Adventure","Sci-Fi","n","Stream","5.0","6.1","NA"
"The Three Musketeers(2011)","The Three Musketeers","2021-01-20","movie","2011","2010","2010","11","110","Action","Adventure","Fantasy","n","Hulu","2.0","5.7","NA"
"Girl Most Likely(2012)","Girl Most Likely","2021-01-21","movie","2012","2010","2010","10","103","Comedy","","","n","Hulu","2.0","5.7","NA"
"Memento(2000)","Memento","2021-01-24","movie","2000","2000","2000","22","113","Mystery","Thriller","","n","Amazon Prime","5.0","8.4","NA"
"Vivre Sa Vie(1962)","Vivre Sa Vie","2021-01-24","movie","1962","1960","1960","60","80","Drama","","","n","HBO Max","8.0","7.9","NA"
"Dog Eat Dog(2016)","Dog Eat Dog","2021-01-26","movie","2016","2010","2015","6","93","Action","Thriller","","n","Hulu","5.0","4.7","NA"
"Johnny Mnemonic(1995)","Johnny Mnemonic","2021-01-30","movie","1995","1990","1995","27","103","Action","Drama","Sci-Fi","n","Hulu","5.0","5.6","NA"
"Sound of Metal(2019)","The Sound of Metal","2021-01-31","movie","2019","2010","2015","3","120","Drama","Music","","n","Amazon Prime","8.5","7.7","NA"
"Whiplash(2014)","Whiplash","2021-01-31","movie","2014","2010","2010","8","106","Drama","Music","","n","Stream","10.0","8.5","NA"
"Songcatcher(2000)","Songcatcher","2021-02-02","movie","2000","2000","2000","22","109","Drama","Music","","n","Tubi","8.0","7.2","NA"
"Coal Miner's Daughter(1980)","Coal Miner's Daughter","2021-02-03","movie","1980","1980","1980","42","124","Biography","Drama","Music","n","Stream","8.0","7.5","NA"
"The Prestige(2006)","The Prestige","2021-02-05","movie","2006","2000","2005","16","130","Drama","Mystery","Sci-Fi","n","Amazon Prime","10.0","8.5","NA"
"Batman: The Killing Joke(2016)","Batman: The Killing Joke","2021-02-07","movie","2016","2010","2015","6","76","Action","Animation","Crime","n","Netflix","8.5","6.4","NA"
"Waiting for the Barbarians(2019)","Waiting for Barbarians","2021-02-14","movie","2019","2010","2015","3","112","Drama","","","n","Hulu","8.0","5.9","NA"
"Bombshell(2019)","Bombshell","2021-02-15","movie","2019","2010","2015","3","109","Biography","Drama","","n","Hulu","8.0","6.8","NA"
"Waiting...(2005)","Waiting...","2021-02-19","movie","2005","2000","2005","17","94","Comedy","","","n","Netflix","8.0","6.7","NA"
"Chef(2014)","Chef","2021-02-20","movie","2014","2010","2010","8","114","Adventure","Comedy","Drama","n","Netflix","8.0","7.3","NA"
"Just Mercy(2019)","Just Mercy","2021-02-20","movie","2019","2010","2015","3","137","Biography","Crime","Drama","n","HBO Max","8.0","7.6","NA"
"The Cleanse(2016)","The Cleanse","2021-02-24","movie","2016","2010","2015","6","81","Comedy","Drama","Fantasy","n","Hulu","5.0","5.1","NA"
"Supervized(2019)","Supervized","2021-02-26","movie","2019","2010","2015","3","90","Comedy","","","n","Hulu","8.0","5.0","NA"
"After(2019)","After","2021-02-27","movie","2019","2010","2015","3","105","Drama","Romance","","n","Netflix","2.0","5.2","NA"
"They Call Me Bruce(1982)","They Call Me Bruce","2021-03-03","movie","1982","1980","1980","40","87","Action","Comedy","","n","Amazon Prime","2.5","5.6","NA"
"Slackers(2002)","Slackers","2021-03-04","movie","2002","2000","2000","20","86","Comedy","Romance","","n","Amazon Prime","6.0","5.3","NA"
"The Matrix(1999)","The Matrix","2021-03-05","movie","1999","1990","1995","23","136","Action","Sci-Fi","","y","HBO Max","10.0","8.7","NA"
"Spider-Man: Homecoming(2017)","Spider-Man: Homecoming","2021-03-09","movie","2017","2010","2015","5","133","Action","Adventure","Sci-Fi","y","Stream","10.0","7.4","NA"
"Superbad(2007)","Superbad","2021-03-12","movie","2007","2000","2005","15","113","Comedy","","","y","Netflix","10.0","7.6","NA"
"30 Minutes or Less(2011)","30 Minutes or Less","2021-03-13","movie","2011","2010","2010","11","83","Action","Comedy","Crime","n","Netflix","2.0","6.1","NA"
"Buffaloed(2019)","Buffaloed","2021-03-14","movie","2019","2010","2015","3","95","Comedy","Drama","","n","Hulu","8.0","6.2","NA"
"The Night Watchmen(2017)","The Night Watchmen","2021-03-18","movie","2017","2010","2015","5","80","Action","Comedy","Horror","n","Hulu","5.0","5.3","NA"
"Star Wars: Episode II - Attack of the Clones(2002)","Star Wars Ep 2","2021-08-20","movie","2002","2000","2000","20","142","Action","Adventure","Fantasy","y","Disney +","8.0","6.6","NA"
