IMDB Code	Date	Title	Seen	Source	Recommender	Rating	Simple Rating
tt0121766	1/1/2021	Star Wars Ep 3	y	Disney +	NA	Great	10
tt2278388	1/1/2021	Grand Budapest Hotel	y	Stream	NA	Great	10
tt4698684	1/2/2021	Hunt for the Wilderpeople	n	Hulu	NA	Great	10
tt0360486	1/2/2021	Constantine	n	Hulu	NA	Good	8
tt6565702	1/3/2021	Dark Phoenix	n	HBO Max	NA	Okay	2
tt1571249	1/4/2021	The Skeleton Twins	n	Hulu	NA	Decent	5
tt0088333	1/7/2021	Up the Creek	n	Amazon Prime	NA	Good	8
tt1279935	1/8/2021	Date Night (Extended Version)	n	Hulu	NA	Good	8
tt0086998	1/9/2021	Breakin'	n	Stream	NA	Decent	5
tt0086960	1/9/2021	Beverly Hills Cop	n	Stream	NA	Decent	5
tt0086999	1/10/2021	Breakin' 2: Electric Boogaloo	n	Stream	NA	Okay	2
tt3853830	1/11/2021	The Tiger Hunter	n	Netflix	NA	Good	8
tt2962984	1/13/2021	Girlfriend's Day	n	Netflix	NA	Decent	5
tt0489099	1/16/2021	Jumper	n	Stream	NA	Decent	5
tt1509767	1/20/2021	The Three Musketeers	n	Hulu	NA	Okay	2
tt1698648	1/21/2021	Girl Most Likely	n	Hulu	NA	Okay	2
tt0209144	1/24/2021	Memento	n	Amazon Prime	NA	Decent	5
tt0056663	1/24/2021	Vivre Sa Vie	n	HBO Max	NA	Good	8
tt4054654	1/26/2021	Dog Eat Dog	n	Hulu	NA	Decent	5
tt0113481	1/30/2021	Johnny Mnemonic	n	Hulu	NA	Decent	5
tt5363618	1/31/2021	The Sound of Metal	n	Amazon Prime	NA	Good +	8.5
tt2582802	1/31/2021	Whiplash	n	Stream	NA	Great	10
tt0210299	2/2/2021	Songcatcher	n	Tubi	NA	Good	8
tt0080549	2/3/2021	Coal Miner's Daughter	n	Stream	NA	Good	8
tt0482571	2/5/2021	The Prestige	n	Amazon Prime	NA	Great	10
tt4853102	2/7/2021	Batman: The Killing Joke	n	Netflix	NA	Good +	8.5
tt6149154	2/14/2021	Waiting for Barbarians	n	Hulu	NA	Good	8
tt6394270	2/15/2021	Bombshell	n	Hulu	NA	Good	8
tt0348333	2/19/2021	Waiting...	n	Netflix	NA	Good	8
tt2883512	2/20/2021	Chef	n	Netflix	NA	Good	8
tt4916630	2/20/2021	Just Mercy	n	HBO Max	NA	Good	8
tt3734354	2/24/2021	The Cleanse	n	Hulu	NA	Decent	5
tt7302054	2/26/2021	Supervized	n	Hulu	NA	Good	8
tt4126476	2/27/2021	After	n	Netflix	NA	Okay	2
tt0084786	3/3/2021	They Call Me Bruce	n	Amazon Prime	NA	Okay +	2.5
tt0240900	3/4/2021	Slackers	n	Amazon Prime	NA	Decent +	6
tt0133093	3/5/2021	The Matrix	y	HBO Max	NA	Great	10
tt2250912	3/9/2021	Spider-Man: Homecoming	y	Stream	NA	Great	10
tt0829482	3/12/2021	Superbad	y	Netflix	NA	Great	10
tt1622547	3/13/2021	30 Minutes or Less	n	Netflix	NA	Okay	2
tt8647310	3/14/2021	Buffaloed	n	Hulu	NA	Good	8
tt4102722	3/18/2021	The Night Watchmen	n	Hulu	NA	Decent	5
tt0121765	3/19/2021	Star Wars Ep 2	y	Disney +	NA	Good	8
tt0095705	3/21/2021	The Naked Gun	n	Netflix	NA	Good	8
tt9893250	3/22/2021	I Care A Lot	n	Netflix	NA	Good +	8.5
tt4686844	3/23/2021	The Death of Stalin	n	Netflix	NA	Great	10
tt1918734	3/24/2021	2067	n	Hulu	NA	Decent	5
tt0493405	3/25/2021	Chips	n	HBO Max	NA	Decent	5
tt0110912	3/26/2021	Pulp FIction	n	HBO Max	NA	Great	10
tt0373074	3/27/2021	Kung Fu Hustle	n	Netflix	NA	Good	8
tt1862079	3/29/2021	Safety Not Guaranteed	n	Netflix	NA	Good +	8.5
